TITLE,DEPARTMENT,PERCENTAGE,FOAPAL_SALARY,TOTAL_SALARY,OTHER_SALARY,TENURE,DEGREE,DEGREE_DESC,YEARS_HERE,YEARS_TOTAL,POSITION_FTE,JOB FTE,BUDGET_FTE,JOB_PCT,MONTHS_EMPL,POSN_ECLS
Assistant Professor,Cntr Fr Adv Computer Study,100,"96,000.00","96,000.00",0.00,O,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Associate Professor,Cntr Fr Adv Computer Study,100,"110,328.00","113,448.00","3,120.00",T,PHD,Doctor of Philosophy,16,16,1,1,1,100,9,F9
Associate Professor,Cntr Fr Adv Computer Study,100,"105,370.00","108,490.00","3,120.00",T,PHD,Doctor of Philosophy,10,10,1,1,1,100,9,F9
Associate Professor,Cntr Fr Adv Computer Study,100,"118,423.00","121,543.00","3,120.00",T,PHD,Doctor of Philosophy,27,27,1,1,1,100,9,F9
Professor,Cntr Fr Adv Computer Study,93.46,"146,404.00","159,769.00","13,365.00",T,PHD,Doctor of Philosophy,30,29,1,1,1,100,9,F9
Professor,Cntr Fr Adv Computer Study,100,"138,079.00","141,199.00","3,120.00",T,PHD,Doctor of Philosophy,29,30,1,1,1,100,9,F9
Professor,Cntr Fr Adv Computer Study,100,"190,872.00","193,992.00","3,120.00",T,PHD,Doctor of Philosophy,32,32,1,1,1,100,9,F9
Professor,Cntr Fr Adv Computer Study,100,"193,190.00","205,190.00","12,000.00",T,PHD,Doctor of Philosophy,32,31,1,1,1,100,9,F9
Assistant Professor,Communication,100,"57,000.00","57,000.00",0.00,O,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Assistant Professor,Communication,100,"56,189.00","56,189.00",0.00,O,MS,Master of Science,7,16,1,1,1,100,9,F9
Assistant Professor,Communication,100,"54,745.00","54,745.00",0.00,O,PHD,Doctor of Philosophy,2,2,1,1,1,100,9,F9
Assistant Professor,Communication,100,"55,000.00","55,000.00",0.00,,MFA,Master of Fine Arts,0,0,1,1,1,100,9,F9
Assistant Professor,Communication,100,"53,000.00","53,000.00",0.00,,PHD,Doctor of Philosophy,1,2,1,1,1,100,9,F9
Assistant Professor,Communication,100,"55,000.00","55,000.00",0.00,,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Assistant Professor,Communication,100,"55,505.00","55,505.00",0.00,O,PHD,Doctor of Philosophy,5,5,1,1,1,100,9,F9
Associate Professor,Communication,100,"61,457.00","64,577.00","3,120.00",T,PHD,Doctor of Philosophy,11,20,1,1,1,100,9,F9
Associate Professor,Communication,100,"70,477.00","70,477.00",0.00,T,PHD,Doctor of Philosophy,20,21,1,1,1,100,9,F9
Instructor,Communication,100,"48,000.00","48,000.00",0.00,N,MA,Master of Arts,0,1,1,1,1,100,9,F9
Instructor,Communication,100,"48,124.00","48,124.00",0.00,N,MA,Master of Arts,4,4,1,1,1,100,9,F9
Instructor,Communication,100,"45,000.00","45,000.00",0.00,,MS,Master of Science,0,5,1,1,1,100,9,F9
Professor,Communication,100,"81,490.00","84,610.00","3,120.00",T,PHD,Doctor of Philosophy,16,18,1,1,1,100,9,F9
Professor,Communication,100,"97,042.00","100,162.00","3,120.00",T,PHD,Doctor of Philosophy,25,25,1,1,1,100,9,F9
Professor,Communication,100,"70,197.00","83,317.00","13,120.00",T,PHD,Doctor of Philosophy,14,15,1,1,1,100,9,F9
Professor,Communication,100,"66,545.00","69,665.00","3,120.00",T,PHD,Doctor of Philosophy,10,10,1,1,1,100,9,F9
Senior Instructor,Communication,100,"47,396.00","47,396.00",0.00,N,MS,Master of Science,7,8,1,1,1,100,9,F9
Senior Instructor,Communication,100,"50,834.00","50,834.00",0.00,N,MFA,Master of Fine Arts,6,6,1,1,1,100,9,F9
Assistant Professor,Communicative Disorders,100,"75,000.00","75,000.00",0.00,,,,0,0,1,1,1,0,9,F9
Associate Professor,Communicative Disorders,100,"69,664.00","72,784.00","3,120.00",O,PHD,Doctor of Philosophy,17,21,1,1,1,100,9,F9
Associate Professor,Communicative Disorders,100,"75,948.00","89,068.00","13,120.00",T,PHD,Doctor of Philosophy,9,11,1,1,1,100,9,F9
Associate Professor,Communicative Disorders,100,"77,467.00","77,467.00",0.00,T,PHD,Doctor of Philosophy,15,23,1,1,1,100,9,F9
Professor,Communicative Disorders,100,"126,840.00","129,960.00","3,120.00",T,PHD,Doctor of Philosophy,3,3,1,1,1,100,9,F9
Professor,Communicative Disorders,100,"128,254.00","184,465.00","56,211.00",T,PHD,Doctor of Philosophy,27,27,1,1,1,100,9,F9
Professor,Communicative Disorders,100,"143,300.00","143,300.00",0.00,T,PHD,Doctor of Philosophy,21,21,1,1,1,100,9,F9
Professor,Communicative Disorders,100,"93,500.00","99,740.00","6,240.00",O,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Professor,Communicative Disorders,100,"108,708.00","111,828.00","3,120.00",T,PHD,Doctor of Philosophy,20,20,1,1,1,100,9,F9
Associate Professor,Computer Science,94.74,"96,794.00","130,168.00","33,374.00",T,PHD,Doctor of Philosophy,16,15,1,1,1,100,9,F9
Assistant Professor,Computer Science,100,"90,146.00","90,146.00",0.00,O,MS,Master of Science,4,4,1,1,1,100,9,F9
Assistant Professor,Computer Science,100,"88,800.00","88,800.00",0.00,O,PHD,Doctor of Philosophy,2,2,1,1,1,100,9,F9
Assistant Professor,Computer Science,100,"89,381.00","89,381.00",0.00,O,PHD,Doctor of Philosophy,2,2,2,1,1,100,9,F9
Master Instructor,Computer Science,100,"75,314.00","75,314.00",0.00,N,MS,Master of Science,17,17,1,1,1,100,9,F9
Master Instructor,Computer Science,100,"74,739.00","74,739.00",0.00,N,MS,Master of Science,19,20,1,1,1,100,9,F9
Associate Professor,Counselor Education,100,"66,311.00","66,311.00",0.00,O,PHD,Doctor of Philosophy,8,9,2,1,1,100,9,F9
Associate Professor,Counselor Education,100,"64,984.00","68,104.00","3,120.00",O,PHD,Doctor of Philosophy,5,6,1,1,1,100,9,F9
Associate Professor,Counselor Education,100,"67,159.00","67,159.00",0.00,T,PHD,Doctor of Philosophy,10,11,2,1,1,100,9,F9
Associate Professor,Counselor Education,100,"81,332.00","81,332.00",0.00,T,PHD,Doctor of Philosophy,6,23,1,1,1,100,9,F9
Professor,Counselor Education,100,"89,715.00","99,715.00","10,000.00",T,PHD,Doctor of Philosophy,21,23,2,1,1,100,9,F9
Assistant Professor,Criminal Justice,100,"53,000.00","53,000.00",0.00,O,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Assistant Professor,Criminal Justice,100,"57,165.00","57,165.00",0.00,O,PHD,Doctor of Philosophy,4,4,1,1,1,100,9,F9
Associate Professor,Criminal Justice,100,"61,202.00","74,322.00","13,120.00",O,PHD,Doctor of Philosophy,3,3,1,1,1,100,9,F9
Master Instructor,Criminal Justice,100,"49,259.00","49,259.00",0.00,N,MBA,Master of Business Admin.,15,23,1,1,1,100,9,F9
Master Instructor,Criminal Justice,100,"49,527.00","49,527.00",0.00,N,MA,Master of Arts,22,26,2,1,1,100,9,F9
Instructor,Dean of Nursing&Allied Hlth Prof,100,"56,274.00","56,274.00",0.00,N,MSN,MS in Nursing,2,2,1,1,1,100,9,F9
Instructor,Dean of Nursing&Allied Hlth Prof,100,"65,738.00","65,738.00",0.00,N,MSN,MS in Nursing,1,1,1,1,1,100,9,F9
Instructor,Dean of Nursing&Allied Hlth Prof,100,"58,000.00","58,000.00",0.00,N,MSN,MS in Nursing,1,15,1,1,1,100,9,F9
Instructor,Dean of Nursing&Allied Hlth Prof,100,"56,525.00","56,525.00",0.00,N,MN,Master of Nursing_,3,3,1,1,1,100,9,F9
Senior Instructor,Dean of Nursing&Allied Hlth Prof,100,"55,393.00","55,393.00",0.00,N,MSN,MS in Nursing,9,9,1,1,1,100,9,F9
Assistant Professor,Economics & Finance,100,"60,000.00","60,000.00",0.00,N,JD,Juris Doctorate,7,10,1,1,1,100,9,F9
Assistant Professor,Economics & Finance,100,"95,330.00","104,690.00","9,360.00",O,JD,Juris Doctorate,3,4,1,1,1,100,9,F9
Associate Professor,Economics & Finance,100,"94,605.00","100,845.00","6,240.00",T,PHD,Doctor of Philosophy,11,11,1,1,1,100,9,F9
Associate Professor,Economics & Finance,100,"119,712.00","122,832.00","3,120.00",T,DBA,Doctor of Business Admin_,32,31,1,1,1,100,9,F9
Associate Professor,Economics & Finance,100,"114,388.00","132,508.00","18,120.00",T,PHD,Doctor of Philosophy,10,11,1,1,1,100,9,F9
Associate Professor,Economics & Finance,100,"95,000.00","95,000.00",0.00,,,,0,0,1,1,1,0,9,F9
Associate Professor,Economics & Finance,100,"93,788.00","93,788.00",0.00,T,PHD,Doctor of Philosophy,15,15,1,1,1,100,9,F9
Associate Professor,Economics & Finance,100,"109,581.00","115,821.00","6,240.00",T,PHD,Doctor of Philosophy,11,12,1,1,1,100,9,F9
Instructor,Economics & Finance,100,"57,000.00","57,000.00",0.00,,MBA,Master of Business Admin.,2,11,1,1,1,100,9,F9
Instructor,Economics & Finance,100,"57,000.00","57,000.00",0.00,,MBA,Master of Business Admin.,1,1,1,1,1,100,9,F9
Instructor,Economics & Finance,100,"67,348.00","67,348.00",0.00,N,MBA,Master of Business Admin.,5,21,1,1,1,100,9,F9
Instructor,Economics & Finance,100,"51,068.00","51,068.00",0.00,N,MBA,Master of Business Admin.,9,13,1,1,1,100,9,F9
